"x";"y"
"1";13.2;46.1
"2";14.1;48.7
"3";13.5;46.5
"4";14.6;45.4
"5";13.4;43.3
"6";13.7;40.9
"7";13.7;45.5
"8";14.6;45.8
"9";13.5;42
"10";14.5;46.2
"11";14.5;45.1
"12";14.5;46.5
"13";13.1;42.9
"14";14.3;48.2
"15";14.2;42.8
"16";14.5;45.1
"17";14.8;49.1
"18";13.7;42.6
"19";13.6;44
"20";13.7;42.7
"21";13.7;45.3
"22";13.9;43.6
"23";13.9;45.5
"24";13.3;44.9
"25";14.2;46.6
"26";14.4;45.1
"27";14.4;46.5
"28";13.9;43.8
"29";14.5;43.2
"30";13.8;45.3
"31";13.9;45.7
"32";14.2;45.8
"33";14.2;43.5
"34";15;47.7
"35";14.8;46.5
"36";15;46.4
"37";14.2;47.5
"38";13.8;45.2
"39";14.5;49.1
"40";14.6;47.4
"41";13.8;44.9
"42";14.4;43.4
"43";14;47.5
"44";15;47.5
"45";14.5;45.5
"46";14.7;44.5
"47";14.6;46.9
"48";14.4;48.4
"49";15;48.5
"50";15.5;47.2
"51";14.7;41.7
"52";14;43.3
"53";15.2;50.5
"54";15.2;43.5
"55";14.1;46.2
"56";13.7;47.2
"57";14.3;46.8
"58";14.8;45.2
